,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
228047,246,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,1
235053,98,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,1979.0,2018,2
235063,108,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,2
235069,114,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1691.0,2018,2
235078,123,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5371.0,2018,2
235085,130,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2525.0,2018,2
235098,143,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,2
235110,155,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2086.0,2018,2
235117,162,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,2
235127,172,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,2
235135,180,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,2
235143,188,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2597.0,2018,2
235150,195,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,924.0,2018,2
235158,203,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5045.0,2018,2
235165,210,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,2
235176,221,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,2
235184,229,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3154.0,2018,2
235193,238,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,2
235199,244,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,2
241979,98,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,1979.0,2018,3
241989,108,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,3
241995,114,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1691.0,2018,3
242004,123,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5371.0,2018,3
242011,130,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2525.0,2018,3
242024,143,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,3
242036,155,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2086.0,2018,3
242043,162,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,3
242053,172,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,3
242061,180,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,3
242069,188,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2597.0,2018,3
242076,195,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,924.0,2018,3
242084,203,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5045.0,2018,3
242091,210,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,3
242102,221,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,3
242110,229,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3154.0,2018,3
242119,238,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,3
242125,244,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,3
248786,99,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,1979.0,2018,4
248796,109,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,4
248802,115,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1704.0,2018,4
248811,124,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5371.0,2018,4
248818,131,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2525.0,2018,4
248831,144,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,4
248843,156,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2088.0,2018,4
248850,163,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,4
248860,173,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,4
248868,181,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,4
248876,189,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2597.0,2018,4
248883,196,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,924.0,2018,4
248891,204,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5045.0,2018,4
248898,211,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,4
248909,222,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,4
248917,230,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3154.0,2018,4
248926,239,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,4
248932,245,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,4
255551,99,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,1987.0,2018,5
255561,109,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,5
255567,115,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1704.0,2018,5
255576,124,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5371.0,2018,5
255583,131,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2544.0,2018,5
255596,144,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,5
255608,156,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2088.0,2018,5
255615,163,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,5
255625,173,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,5
255633,181,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,5
255641,189,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2597.0,2018,5
255648,196,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,981.0,2018,5
255655,203,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5061.0,2018,5
255662,210,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,5
255673,221,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,5
255681,229,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3154.0,2018,5
255690,238,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,5
255696,244,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,5
262305,99,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,1987.0,2018,6
262315,109,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,6
262321,115,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1704.0,2018,6
262330,124,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5414.0,2018,6
262337,131,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2544.0,2018,6
262350,144,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,6
262362,156,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2088.0,2018,6
262369,163,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,6
262379,173,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,6
262387,181,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,6
262395,189,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2684.0,2018,6
262402,196,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,981.0,2018,6
262409,203,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5061.0,2018,6
262416,210,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,6
262427,221,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,6
262435,229,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3182.0,2018,6
262444,238,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,6
262450,244,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,6
269050,98,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1040.0,2053.0,2018,7
269060,108,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,742.0,1479.0,2018,7
269066,114,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,653.0,1721.0,2018,7
269075,123,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4467.0,5628.0,2018,7
269082,130,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1443.0,2544.0,2018,7
269095,143,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1.0,59.0,2018,7
269107,155,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,780.0,2088.0,2018,7
269114,162,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,43.0,265.0,2018,7
269124,172,IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,275.0,556.0,2018,7
269132,180,IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,284.0,446.0,2018,7
269140,188,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1579.0,2684.0,2018,7
269147,195,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,85.0,993.0,2018,7
269154,202,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,2260.0,5093.0,2018,7
269161,209,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,305.0,848.0,2018,7
269172,220,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,888.0,1128.0,2018,7
269180,228,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1010.0,3182.0,2018,7
269189,237,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3379.0,3525.0,2018,7
269195,243,IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3185.0,3344.0,2018,7
